"规范番号","系列","标题","AsiaMonstr文章日期","AsiaMonstr详情页","当前官网目录状态","官方资源HEAD地址","HTTP状态","Content-Type","Content-Length","历史记录位置","核查时间","确认结果","说明"
"ANIX-7","ANIX","ANIX-07 Dream Melpure, Machida Minami","June 13, 2013","https://www.asiamonstr.com/giga/anix-07-dream-melpure-machida-minami.html","完整扫描未收录","https://www.giga-web.jp/db_titles/anix/anix07/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:43:57+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"ATHB-11","ATHB","ATHB-11 Super Windy Heroine Battle","March 28, 2013","https://www.asiamonstr.com/giga/athb-11-super-windy-heroine-battle-rino-kamiya.html","完整扫描未收录","https://www.giga-web.jp/db_titles/athb/athb11/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:43:59+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"GDBS-47","GDBS","GDBS-47 THE DIGEST OF G1 GRAND PRIX","November 14, 2017","https://www.asiamonstr.com/giga/gdbs-47-the-digest-of-g1-grand-prix.html","完整扫描未收录","https://www.giga-web.jp/db_titles/gdbs/gdbs47/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:44:04+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"GEXP-71","GEXP","GEXP-71 Witch Beautiful Girl Fighter Fontane","June 26, 2013","https://www.asiamonstr.com/giga/gexp-71-witch-beautiful-girl-fighter-fontane-the-strongest-enemy-panty-killer-fujiwara-hitomi.html","完整扫描未收录","https://www.giga-web.jp/db_titles/gexp/gexp71/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:44:11+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"GHOR-37","GHOR","GHOR-37 Witch Angel Magical Mask -The Second Nightmare-","April 29, 2016","https://www.asiamonstr.com/giga/ghor-37-witch-angel-magical-mask-second-nightmare-runa-suzumori.html","完整扫描未收录","https://www.giga-web.jp/db_titles/ghor/ghor37/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:44:39+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"GIMG-16","GIMG","GIMG-16 Heroine Image Factory16 Rui, the Attractive Investigator An Mizuki","December 6, 2017","https://www.asiamonstr.com/giga/gimg-16-heroine-image-factory16-rui-the-attractive-investigator-an-mizuki.html","完整扫描未收录","https://www.giga-web.jp/db_titles/gimg/gimg16/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:44:49+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"GIMG-30","GIMG","GIMG-30 Heroine Image Factory BUSHIDO GIRLS","November 16, 2014","https://www.asiamonstr.com/giga/gimg-30-heroine-image-factory-bushido-girls-fatal-force-the-legend-of-the-fire-eagle-yurina-ayashiro-an-mizuki.html","完整扫描未收录","https://www.giga-web.jp/db_titles/gimg/gimg30/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:44:51+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"GOMK-39","GOMK","GOMK-39 KUNOICHI – Misty Oshichi","May 20, 2013","https://www.asiamonstr.com/giga/gomk-39-kunoichi-misty-oshichi-hitomi-fujiwara.html","完整扫描未收录","https://www.giga-web.jp/db_titles/gomk/gomk39/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:44:59+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"GPTM-22","GPTM","GPTM-22 Giant Heroine Sophia","April 26, 2013","https://www.asiamonstr.com/giga/gptm-22-giant-heroine-sophia.html","完整扫描未收录","https://www.giga-web.jp/db_titles/gptm/gptm22/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:03+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"GTRL-1","GTRL","GTRL-01 New Star Unit Ryuseiger Suppression","April 13, 2013","https://www.asiamonstr.com/giga/gtrl-01-star-unit-ryuseiger-suppression-hitomi-fujiwara.html","完整扫描未收录","https://www.giga-web.jp/db_titles/gtrl/gtrl01/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:08+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
