规范番号,系列,标题,AsiaMonstr文章日期,AsiaMonstr详情页,当前官网目录状态,官方资源HEAD地址,HTTP状态,Content-Type,Content-Length,历史记录位置,核查时间,确认结果,说明
ANIX-7,ANIX,"ANIX-07 Dream Melpure, Machida Minami","June 13, 2013",https://www.asiamonstr.com/giga/anix-07-dream-melpure-machida-minami.html,完整扫描未收录,https://www.giga-web.jp/db_titles/anix/anix07/pac_s.jpg,404,text/html; charset=iso-8859-1,,,2026-09-12T21:43:57+08:00,当前官网目录缺失，只有第三方历史线索,完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。
ATHB-11,ATHB,ATHB-11 Super Windy Heroine Battle,"March 28, 2013",https://www.asiamonstr.com/giga/athb-11-super-windy-heroine-battle-rino-kamiya.html,完整扫描未收录,https://www.giga-web.jp/db_titles/athb/athb11/pac_s.jpg,404,text/html; charset=iso-8859-1,,,2026-09-12T21:43:59+08:00,当前官网目录缺失，只有第三方历史线索,完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。
AVGP-9,AVGP,AVGP-009 Kidou Sentai Ranger Cross,"February 12, 2013",https://www.asiamonstr.com/giga/avgp-009-kidou-sentai-ranger-cross.html,完整扫描未收录,https://www.giga-web.jp/db_titles/avgp/avgp009/pac_s.jpg,200,image/jpeg,154163,,2026-09-12T21:44:01+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
DHRY-17,DHRY,DHRY-17 Doujin Heroine 16 -Blue Fenril/Ryo Aoi,"July 7, 2021",https://www.asiamonstr.com/giga/dhry-17-doujin-heroine-16-blue-fenril-ryo-aoi.html,完整扫描未收录,https://www.giga-web.jp/db_titles/dhry/dhry17/pac_s.jpg,200,image/jpeg,89773,0f1fe95ab25224f11cfd8fe304a3ed14a4fdd3ec:public/data/catalog.json; 8104579b6cc7411748b1685868af22e5b8d0dd77:public/data/catalog.json; D:\giga-catalog\data.json:video 981; D:\giga-catalog\links.json:key DHRY-17; b2f7a3e714bd49d9fa8c262d4460ce09c5286ec0:public/data/catalog.json; b8c1609c6eab57a96d6486d18175d4ee1c52d257:public/data/catalog.json; fb07a3ad9a69a3a57c96eab4405e1d5f45c507ed:public/data/catalog.json,2026-09-12T21:44:01+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
DHRY-18,DHRY,DHRY-18 Doujin Heroine 17 Mai Hidaka -Shameful Bondage,"July 22, 2021",https://www.asiamonstr.com/giga/dhry-18-doujin-heroine-17-mai-hidaka-shameful-bondage.html,完整扫描未收录,https://www.giga-web.jp/db_titles/dhry/dhry18/pac_s.jpg,200,image/jpeg,87378,,2026-09-12T21:44:01+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
DHRY-8,DHRY,DHRY-08 Doujin Heroine 08 Female Investigator,"September 4, 2020",https://www.asiamonstr.com/giga/dhry-08-doujin-heroine-08-female-investigator-rei-fujisawa.html,完整扫描未收录,https://www.giga-web.jp/db_titles/dhry/dhry08/pac_s.jpg,200,image/jpeg,288047,,2026-09-12T21:44:02+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GAMD-2,GAMD,"GAMD-02 Naked Heroine Ace Act2 – The Madoka War, Kanamori Mina","May 1, 2013",https://www.asiamonstr.com/giga/gamd-02-naked-heroine-ace-act2-the-madoka-war-kanamori-mina.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gamd/gamd02/pac_s.jpg,200,image/jpeg,72340,,2026-09-12T21:44:02+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GATE-39,GATE,GATE-39 Naked heroine Asada banana,"February 16, 2013",https://www.asiamonstr.com/giga/gate-39-naked-heroine-asada-banana.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gate/gate39/pac_s.jpg,200,image/jpeg,318787,,2026-09-12T21:44:02+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GDBS-22,GDBS,GDBS-22 The Highlights Of Gigantic Heroine,"October 21, 2017",https://www.asiamonstr.com/giga/gdbs-22-the-highlights-of-gigantic-heroine.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gdbs/gdbs22/pac_s.jpg,200,image/jpeg,73921,,2026-09-12T21:44:03+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GDBS-30,GDBS,GDBS-30 Highlights of Yellow Sentai,"March 28, 2015",https://www.asiamonstr.com/giga/gdbs-30-highlights-of-yellow-sentai.html,完整扫描未收录,https://www.giga-web.jp/db_titles/gdbs/gdbs30/pac_s.jpg,200,image/jpeg,94206,,2026-09-12T21:44:03+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
