规范番号,原始番号,系列,候选来源,标题,发行日期,文章日期,表格位置,AsiaMonstr详情页地址,官方证据地址,历史记录位置,访问结果,核查时间,分类,判断理由,建议处理
AKBD-10,AKBD-10,AKBD,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
AKBD-9,AKBD-9,AKBD,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
ANIX-7,ANIX-07,ANIX,asiamonstr; gap,"ANIX-07 Dream Melpure, Machida Minami",,"June 13, 2013",,https://www.asiamonstr.com/giga/anix-07-dream-melpure-machida-minami.html,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,历史条目，状态待核实,外部或历史来源明确记载，但当前官方状态未获确认,仍需核实
ATHB-11,ATHB-11,ATHB,asiamonstr; gap,ATHB-11 Super Windy Heroine Battle,,"March 28, 2013",,https://www.asiamonstr.com/giga/athb-11-super-windy-heroine-battle-rino-kamiya.html,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,历史条目，状态待核实,外部或历史来源明确记载，但当前官方状态未获确认,仍需核实
AVGP-9,AVGP-009,AVGP,asiamonstr,AVGP-009 Kidou Sentai Ranger Cross,,"February 12, 2013",,https://www.asiamonstr.com/giga/avgp-009-kidou-sentai-ranger-cross.html,https://www.giga-web.jp/db_titles/avgp/avgp009/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:01+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
DHRY-17,DHRY-17,DHRY,asiamonstr; gap; historical-catalog; historical-link-index; history,DHRY-17 Doujin Heroine 16 -Blue Fenril/Ryo Aoi,2021-07-23,"July 7, 2021",,https://www.asiamonstr.com/giga/dhry-17-doujin-heroine-16-blue-fenril-ryo-aoi.html,https://www.giga-web.jp/db_titles/dhry/dhry17/pac_s.jpg,0f1fe95ab25224f11cfd8fe304a3ed14a4fdd3ec:public/data/catalog.json; 8104579b6cc7411748b1685868af22e5b8d0dd77:public/data/catalog.json; D:\giga-catalog\data.json:video 981; D:\giga-catalog\links.json:key DHRY-17; b2f7a3e714bd49d9fa8c262d4460ce09c5286ec0:public/data/catalog.json; b8c1609c6eab57a96d6486d18175d4ee1c52d257:public/data/catalog.json; fb07a3ad9a69a3a57c96eab4405e1d5f45c507ed:public/data/catalog.json,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:01+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
DHRY-18,DHRY-18,DHRY,asiamonstr; gap,DHRY-18 Doujin Heroine 17 Mai Hidaka -Shameful Bondage,,"July 22, 2021",,https://www.asiamonstr.com/giga/dhry-18-doujin-heroine-17-mai-hidaka-shameful-bondage.html,https://www.giga-web.jp/db_titles/dhry/dhry18/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:01+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
DHRY-8,DHRY-08,DHRY,asiamonstr; gap,DHRY-08 Doujin Heroine 08 Female Investigator,,"September 4, 2020",,https://www.asiamonstr.com/giga/dhry-08-doujin-heroine-08-female-investigator-rei-fujisawa.html,https://www.giga-web.jp/db_titles/dhry/dhry08/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:02+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GAMD-2,GAMD-02,GAMD,asiamonstr; gap,"GAMD-02 Naked Heroine Ace Act2 – The Madoka War, Kanamori Mina",,"May 1, 2013",,https://www.asiamonstr.com/giga/gamd-02-naked-heroine-ace-act2-the-madoka-war-kanamori-mina.html,https://www.giga-web.jp/db_titles/gamd/gamd02/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:02+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GATE-39,GATE-39,GATE,asiamonstr; gap,GATE-39 Naked heroine Asada banana,,"February 16, 2013",,https://www.asiamonstr.com/giga/gate-39-naked-heroine-asada-banana.html,https://www.giga-web.jp/db_titles/gate/gate39/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:02+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDBS-10,GDBS-10,GDBS,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDBS-11,GDBS-11,GDBS,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDBS-13,GDBS-13,GDBS,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDBS-22,GDBS-22,GDBS,asiamonstr; gap,GDBS-22 The Highlights Of Gigantic Heroine,,"October 21, 2017",,https://www.asiamonstr.com/giga/gdbs-22-the-highlights-of-gigantic-heroine.html,https://www.giga-web.jp/db_titles/gdbs/gdbs22/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:03+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDBS-3,GDBS-3,GDBS,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDBS-30,GDBS-30,GDBS,asiamonstr; gap,GDBS-30 Highlights of Yellow Sentai,,"March 28, 2015",,https://www.asiamonstr.com/giga/gdbs-30-highlights-of-yellow-sentai.html,https://www.giga-web.jp/db_titles/gdbs/gdbs30/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:03+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDBS-31,GDBS-31,GDBS,asiamonstr; gap,GDBS-31 Highlights of Blue Sentai,,"December 2, 2017",,https://www.asiamonstr.com/giga/gdbs-31-highlights-of-blue-sentai.html,https://www.giga-web.jp/db_titles/gdbs/gdbs31/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:03+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDBS-32,GDBS-32,GDBS,asiamonstr; gap,GDBS-32 Highlights of Melpure and Beautiful Heroines,,"December 4, 2017",,https://www.asiamonstr.com/giga/gdbs-32-highlights-of-melpure-and-beautiful-heroines.html,https://www.giga-web.jp/db_titles/gdbs/gdbs32/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:04+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDBS-39,GDBS-39,GDBS,asiamonstr; gap,GDBS-39 Best of Yurina Ayashiro,,"June 7, 2017",,https://www.asiamonstr.com/giga/gdbs-39-best-of-yurina-ayashiro.html,https://www.giga-web.jp/db_titles/gdbs/gdbs39/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:04+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDBS-47,GDBS-47,GDBS,asiamonstr,GDBS-47 THE DIGEST OF G1 GRAND PRIX,,"November 14, 2017",,https://www.asiamonstr.com/giga/gdbs-47-the-digest-of-g1-grand-prix.html,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,历史条目，状态待核实,外部或历史来源明确记载，但当前官方状态未获确认,仍需核实
GDBS-7,GDBS-7,GDBS,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-10,GDGA-10,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-11,GDGA-11,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-12,GDGA-12,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-18,GDGA-18,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-22,GDGA-22,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-23,GDGA-23,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-24,GDGA-24,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-25,GDGA-25,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-26,GDGA-26,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-27,GDGA-27,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-28,GDGA-28,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-29,GDGA-29,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-30,GDGA-30,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-31,GDGA-31,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-32,GDGA-32,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDGA-33,GDGA-33,GDGA,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GDSC-11,GDSC-11,GDSC,asiamonstr; gap,GDSC-11 Super Lady,,"April 10, 2013",,https://www.asiamonstr.com/giga/gdsc-11-super-lady.html,https://www.giga-web.jp/db_titles/gdsc/gdsc11/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:06+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDSC-22,GDSC-22,GDSC,asiamonstr; gap,GDSC-22 Female Sworder Rafina,,"September 6, 2013",,https://www.asiamonstr.com/giga/gdsc-22-female-sworder-rafina-kren-uehara.html,https://www.giga-web.jp/db_titles/gdsc/gdsc22/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:06+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDSC-25,GDSC-25,GDSC,asiamonstr; gap,"GDSC-25 Gosoldier Soldier Pink, Moe Fujisaki",,"October 9, 2013",,https://www.asiamonstr.com/giga/gdsc-25-gosoldier-soldier-pink-moe-fujisaki.html,https://www.giga-web.jp/db_titles/gdsc/gdsc25/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:06+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDSC-29,GDSC-29,GDSC,asiamonstr; gap,GDSC-29 Beauty God Christina,,"October 12, 2013",,https://www.asiamonstr.com/giga/gdsc-29-beauty-god-christina-tomomi-motozawa.html,https://www.giga-web.jp/db_titles/gdsc/gdsc29/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:07+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDSC-38,GDSC-38,GDSC,asiamonstr; gap,"GDSC-38 Daytona Pink The Electroshock Cunnilingus Hell, Yurina Ayashiro",,"January 3, 2014",,https://www.asiamonstr.com/giga/gdsc-38-daytona-pink-the-electroshock-cunnilingus-hell-yurina-ayashiro.html,https://www.giga-web.jp/db_titles/gdsc/gdsc38/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:07+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDSC-39,GDSC-39,GDSC,asiamonstr; gap,"GDSC-39 Lui, the Attractive Investigator",,"December 16, 2013",,https://www.asiamonstr.com/giga/gdsc-39-lui-the-attractive-investigator-an-mizuki.html,https://www.giga-web.jp/db_titles/gdsc/gdsc39/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:07+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDSC-43,GDSC-43,GDSC,asiamonstr; gap,"GDSC-43 SUPERLADY, Rena Konishi",,"January 21, 2014",,https://www.asiamonstr.com/giga/gdsc-43-superlady-rena-konishi.html,https://www.giga-web.jp/db_titles/gdsc/gdsc43/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:08+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDSC-44,GDSC-44,GDSC,asiamonstr; gap,"GDSC-44 Marvelous Mask, Leg Fetish, Shizuku Hasegawa",,"February 3, 2014",,https://www.asiamonstr.com/giga/gdsc-44-marvelous-mask-leg-fetish-shizuku-hasegawa.html,https://www.giga-web.jp/db_titles/gdsc/gdsc44/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:08+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GDSC-50,GDSC-50,GDSC,asiamonstr; gap,"GDSC-50 Kunoichi Homura, Chizuru Sakura",,"March 31, 2014",,https://www.asiamonstr.com/giga/gdsc-50-kunoichi-homura-chizuru-sakura.html,https://www.giga-web.jp/db_titles/gdsc/gdsc50/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:08+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GEXP-2,GEXP-02,GEXP,asiamonstr; gap,GEXP-02 New Star Unit Ryuseiger After story,,"April 30, 2013",,https://www.asiamonstr.com/giga/gexp-02-new-star-unit-ryuseiger-after-story.html,https://www.giga-web.jp/db_titles/gexp/gexp02/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:09+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GEXP-37,GEXP-37,GEXP,asiamonstr; gap,GEXP-37 Black Dress Temptation 2 Holy Peach Contaminated,,"February 18, 2013",,https://www.asiamonstr.com/giga/gexp-37-black-dress-temptation-2-holy-peach-contaminated-by-evil.html,https://www.giga-web.jp/db_titles/gexp/gexp37/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:09+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GEXP-38,GEXP-38,GEXP,asiamonstr; gap,GEXP-38 SPLENDID GIRL,,"April 11, 2013",,https://www.asiamonstr.com/giga/gexp-38-splendid-girl-nakayama-erisu-aoi-nomarin.html,https://www.giga-web.jp/db_titles/gexp/gexp38/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:09+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GEXP-45,GEXP-45,GEXP,asiamonstr; gap,GEXP-45 Cyber Special Agent Inspector Ablaze,,"April 22, 2013",,https://www.asiamonstr.com/giga/gexp-45-cyber-special-agent-inspector-ablaze-nagao-miwa.html,https://www.giga-web.jp/db_titles/gexp/gexp45/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:10+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GEXP-46,GEXP-46,GEXP,asiamonstr; gap,GEXP-46 Witch Beautiful Fighter Fontane,,"April 22, 2013",,https://www.asiamonstr.com/giga/gexp-46-witch-beautiful-fighter-fontane-oohori-kana.html,https://www.giga-web.jp/db_titles/gexp/gexp46/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:10+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GEXP-55,GEXP-55,GEXP,asiamonstr; gap,GEXP-55 Heroine Insulting Combatant Back Miss Mershal,,"June 10, 2013",,https://www.asiamonstr.com/giga/gexp-55-heroine-insulting-combatant-back-miss-mershal-nagao-miwa.html,https://www.giga-web.jp/db_titles/gexp/gexp55/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:10+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GEXP-62,GEXP-62,GEXP,asiamonstr; gap,GEXP-62 Evil High-Ranking Member And Heroine Intersecting,,"February 19, 2013",,https://www.asiamonstr.com/giga/gexp-62-evil-high-ranking-member-and-heroine-intersecting.html,https://www.giga-web.jp/db_titles/gexp/gexp62/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:11+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GEXP-71,GEXP-71,GEXP,asiamonstr; gap,GEXP-71 Witch Beautiful Girl Fighter Fontane,,"June 26, 2013",,https://www.asiamonstr.com/giga/gexp-71-witch-beautiful-girl-fighter-fontane-the-strongest-enemy-panty-killer-fujiwara-hitomi.html,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,历史条目，状态待核实,外部或历史来源明确记载，但当前官方状态未获确认,仍需核实
GEXP-95,GEXP-95,GEXP,asiamonstr; gap,GEXP-95 Heroine White Eye Blackout Hell – Invincible Unit Earth Ranger,,"February 19, 2013",,https://www.asiamonstr.com/giga/gexp-95-heroine-white-eye-blackout-hell-invincible-unit-earth-ranger.html,https://www.giga-web.jp/db_titles/gexp/gexp95/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:12+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GGTB-25,GGTB-25,GGTB,asiamonstr; gap,GGTB-25 Heroine Cunnilingus Torture The Fighter,,"November 7, 2015",,https://www.asiamonstr.com/giga/ggtb-25-heroine-cunnilingus-torture-the-fighter-of-love-and-peace-aphrodite-hitomi-maisaka.html,https://www.giga-web.jp/db_titles/ggtb/ggtb25/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:13+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GHKO-18,GHKO-18,GHKO,asiamonstr; gap,GHKO-18 Heroine Bondage -SUPER WOMAN RELIA,,"November 26, 2016",,https://www.asiamonstr.com/giga/ghko-18-heroine-bondage-super-woman-relia-chitose-yura.html,https://www.giga-web.jp/db_titles/ghko/ghko18/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:13+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GHKO-29,GHKO-29,GHKO,asiamonstr; gap,GHKO-29 THE SUPERLADY,,"December 17, 2016",,https://www.asiamonstr.com/giga/ghko-29-the-superlady-maki-hoshikawa.html,https://www.giga-web.jp/db_titles/ghko/ghko29/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:13+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GHKO-3,GHKO-03,GHKO,asiamonstr; gap,GHKO-03 Queen Decker The Trap of Hypnosis Insult,,"October 9, 2016",,https://www.asiamonstr.com/giga/ghko-03-queen-decker-trap-hypnosis-insult-aya-miyazaki-urea-sakuraba.html,https://www.giga-web.jp/db_titles/ghko/ghko03/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:14+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GHKO-5,GHKO-05,GHKO,asiamonstr; gap,GHKO-05 Justice Low-Ranking Fighter Torture,,"September 24, 2016",,https://www.asiamonstr.com/giga/ghko-05-justice-low-ranking-fighter-torture-hell-mai-miori-hitomi-maisaka-izumi-asato-yui-misaki-ririko-otonagi.html,https://www.giga-web.jp/db_titles/ghko/ghko05/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:14+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GHKO-57,GHKO-57,GHKO,asiamonstr; gap,GHKO-57 Female Cadre Ruin Story,,"February 26, 2017",,https://www.asiamonstr.com/giga/ghko-57-female-cadre-ruin-story-yuri-nikaidou.html,https://www.giga-web.jp/db_titles/ghko/ghko57/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:14+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GHKO-58,GHKO-58,GHKO,asiamonstr; gap,GHKO-58 SUPER MORPHINE IRON RANGER -IRON RANGER,,"February 26, 2017",,https://www.asiamonstr.com/giga/ghko-58-super-morphine-iron-ranger-iron-ranger-destruction-crisis-the-trap-of-witch-lizera-natsuko-mishima-rina-utimura.html,https://www.giga-web.jp/db_titles/ghko/ghko58/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:15+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GHKO-60,GHKO-60,GHKO,asiamonstr; gap,GHKO-60 Pretty Luminous,,"March 10, 2017",,https://www.asiamonstr.com/giga/ghko-60-pretty-luminous-natsuko-mishima-karen-sakisaka.html,https://www.giga-web.jp/db_titles/ghko/ghko60/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:44:15+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
