系列,已有数量,空号数,候选数,可补录数,完成情况
ABGD,2,0,0,0,完成
AHEF,1,0,0,0,完成
AKBD,25,2,2,0,完成
ANIX,11,1,1,0,完成
ATHB,48,1,1,0,完成
ATLB,1,0,0,0,完成
AVGP,1,0,1,0,完成
CSFT,5,0,0,0,完成
CYCD,4,0,0,0,完成
DHRY,30,3,3,0,完成
GAMD,2,1,1,0,完成
GATE,39,1,1,0,完成
GBTB,5,0,0,0,完成
GDBS,36,10,11,0,完成
GDGA,21,16,16,0,完成
GDSC,65,9,9,0,完成
GEXP,90,9,9,0,完成
GGBS,8,0,0,0,完成
GGFH,10,0,0,0,完成
GGTB,39,1,1,0,完成
GHKO,86,13,13,0,完成
GHKP,84,15,15,0,完成
GHKQ,84,15,15,0,完成
GHKR,96,3,3,0,完成
GHLS,86,13,13,0,完成
GHMT,91,8,8,0,完成
GHNU,97,2,2,0,完成
GHOR,86,13,13,0,完成
GHOV,93,0,0,0,完成
GHPM,88,10,11,0,完成
GHVR,7,0,0,0,完成
GIGP,64,6,6,0,完成
GIMG,57,10,10,0,完成
GIRO,88,11,11,0,完成
GMMD,17,1,1,0,完成
GNHD,1,0,0,0,完成
GODS,8,0,0,0,完成
GOMK,85,14,14,0,完成
GPTM,36,1,2,0,完成
GRE,1,0,0,0,完成
GRET,48,3,3,0,完成
GSAD,25,1,1,0,完成
GSHE,5,4,5,0,完成
GTRL,59,4,7,0,完成
GVRD,87,12,12,0,完成
GXXD,95,4,4,0,完成
HFDD,3,0,0,0,完成
HHHG,1,0,0,0,完成
HTB,15,0,0,0,完成
JDSD,16,2,2,0,完成
JGFD,2,0,0,0,完成
JHGD,1,0,0,0,完成
JHHD,17,1,4,3,完成
JHRD,3,0,0,0,完成
JHRZ,2,0,0,0,完成
JHSR,1,0,0,0,完成
JHSS,4,0,0,0,完成
JHTD,5,0,0,0,完成
JJOD,1,0,0,0,完成
JKAT,2,0,0,0,完成
JMSZ,87,12,12,0,完成
JOVD,27,0,0,0,完成
JZKD,6,0,0,0,完成
MEBO,3,1,1,0,完成
MEGA,10,0,0,0,完成
MGHH,4,0,0,0,完成
MGJH,7,0,0,0,完成
MNFC,16,2,3,0,完成
MSZ,37,0,0,0,完成
NRYO,24,0,0,0,完成
NTSN,2,0,0,0,完成
NTSP,2,0,2,0,完成
PAED,5,0,0,0,完成
PDLN,8,9,9,0,完成
PGHD,1,0,0,0,完成
PHYD,2,0,0,0,完成
PIHP,2,0,0,0,完成
PIKS,1,0,0,0,完成
PISB,1,0,0,0,完成
PITB,16,0,0,0,完成
PMID,20,22,31,11,完成
PSD,6,0,0,0,完成
RYOJ,25,2,2,0,完成
SGKA,13,4,4,0,完成
SKHG,6,0,0,0,完成
SKOT,11,0,0,0,完成
SMHO,7,0,0,0,完成
SNGM,9,1,1,0,完成
SPSA,99,0,0,0,完成
SPSB,99,0,0,0,完成
SPSC,99,0,0,0,完成
SPSD,99,0,0,0,完成
SPSE,99,0,0,0,完成
SPSF,65,0,0,0,完成
STAK,21,4,4,0,完成
STHP,2,0,0,0,完成
TBB,59,8,40,30,完成
TBBH,6,0,0,0,完成
TBBS,1,0,0,0,完成
TBR,1,0,0,0,完成
TBW,32,1,3,2,完成
TBXX,18,3,3,0,完成
TCC,5,1,1,0,完成
TDC,5,0,0,0,完成
TDD,3,0,0,0,完成
TDLN,71,5,68,59,完成
TGGP,87,10,10,0,完成
TGHR,3,0,1,0,完成
TGS,1,0,3,3,完成
THH,4,1,12,10,完成
THMD,1,0,0,0,完成
THP,73,6,25,18,完成
THPA,17,0,0,0,完成
THZ,77,4,22,17,完成
THZA,10,0,0,0,完成
TJH,9,0,15,15,完成
TKGD,1,0,0,0,完成
TKSM,1,0,0,0,完成
TKVR,16,6,6,0,完成
TLTD,14,5,5,0,完成
TML,6,0,1,1,完成
TMLZ,2,0,0,0,完成
TMS,8,0,28,27,完成
TNI,8,0,45,45,完成
TOR,5,0,56,56,完成
TRE,86,8,13,4,完成
TRH,2,0,15,14,完成
TRK,4,0,0,0,完成
TRSH,38,9,9,0,完成
TRT,1,0,0,0,完成
TSB,7,0,0,0,完成
TSGS,12,0,0,0,完成
TSW,21,31,120,89,完成
TSWN,31,5,10,0,完成
TTRE,10,1,1,0,完成
TYRD,3,0,0,0,完成
TZZ,6,1,31,27,完成
