来源,地址或位置,访问结果,条目数量,下一页位置,重试次数,核查时间,说明
线上目录基准,https://siwencifudalinzi.github.io/giga-catalog-cn/data/catalog.json,200/已保存,3796,,0,2026-09-12T17:52:16+08:00,
项目链接表格,https://docs.google.com/spreadsheets/d/1wyNMnWXLRoHySoErtj3A-XeuBrenem7NCRb_Qvm5Zag/export?format=csv&gid=0,200/已保存,3,,0,2026-09-12T17:52:16+08:00,
AsiaMonstr入口,https://www.google.com.hk/goto?url=CAESYAHrOzAVa4unAbC7X7yMbEnIFk4AUJx2rVSuHzWNvdcZa-dXeq1G1or896qnSCUQ8H10QHF5RF998FfM4FB3iMX9Rc0ziaO7DvttZKj-d0bi-ZLYi-HvDh5J4y6jRJGaLQ,浏览器跳转成功,4148,https://www.asiamonstr.com/category/giga,0,2026-09-12T17:52:16+08:00,最终地址为 GIGA 分类页；分页采用 /category/giga/page/N，并按页面实际 Next 链接遍历。
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/2,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/2,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/3,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/3,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/4,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/4,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/5,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/5,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/6,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/6,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/7,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/7,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/8,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/8,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/9,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/9,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/10,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/10,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/11,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/11,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/12,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/12,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/13,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/13,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/14,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/14,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/15,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/15,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/16,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/16,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/17,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/17,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/18,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/18,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/19,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/19,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/20,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/20,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/21,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/21,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/22,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/22,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/23,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/23,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/24,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/24,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/25,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/25,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/26,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/26,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/27,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/27,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/28,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/28,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/29,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/29,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/30,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/30,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/31,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/31,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/32,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/32,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/33,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/33,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/34,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/34,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/35,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/35,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/36,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/36,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/37,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/37,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/38,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/38,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/39,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/39,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/40,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/40,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/41,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/41,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/42,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/42,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/43,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/43,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/44,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/44,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/45,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/45,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/46,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/46,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/47,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/47,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/48,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/48,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/49,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/49,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/50,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/50,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/51,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/51,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/52,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/52,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/53,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/53,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/54,0,2026-09-12T17:52:16+08:00,
AsiaMonstr分类分页,https://www.asiamonstr.com/category/giga/page/54,rendered-ok,21,https://www.asiamonstr.com/category/giga/page/55,0,2026-09-12T17:52:16+08:00,
